 time                    v(in)                   v(out)                 
 1.1413123800396007e-05  7.1649326244872058e-01  4.0747141587973365e-03 
 1.3405115792387998e-05  8.4127275498834897e-01  5.6165903743522951e-03 
 1.5397107784379988e-05  9.6592046250155705e-01  7.4035795458556519e-03 
 1.7389099776371978e-05  1.0904168589769172e+00  9.4349122140938279e-03 
 1.9381091768363968e-05  1.2147424421058122e+00  1.1709781617712118e-02 
 2.1373083760355958e-05  1.3388777363374647e+00  1.4227343817654935e-02 
 2.3365075752347948e-05  1.4628032959297743e+00  1.6986717827433762e-02 
 2.5357067744339938e-05  1.5864997079954835e+00  1.9986985749202418e-02 
 2.7349059736331928e-05  1.7099475955432002e+00  2.3227192915618332e-02 
 2.9341051728323918e-05  1.8331276205127933e+00  2.6706348037467586e-02 
 3.1333043720315908e-05  1.9560204868046944e+00  3.0423423357030535e-02 
 3.3325035712307898e-05  2.0786069433026211e+00  3.4377354807164077e-02 
 3.5317027704299887e-05  2.2008677868892583e+00  3.8567042176075594e-02 
 3.7309019696291877e-05  2.3227838654544168e+00  4.2991349277762686e-02 
 3.9301011688283867e-05  2.4443360808952050e+00  4.7649104128092076e-02 
 4.1293003680275857e-05  2.5655053921077391e+00  5.2539099126490109e-02 
 4.3284995672267847e-05  2.6862728179699196e+00  5.7660091243216263e-02 
 4.5276987664259837e-05  2.8066194403148250e+00  6.3010802212190450e-02 
 4.7268979656251827e-05  2.9265264068942232e+00  6.8589918729343807e-02 
 4.9260971648243817e-05  3.0459749343317801e+00  7.4396092656461951e-02 
 5.1252963640235807e-05  3.1649463110654574e+00  8.0427941230488742e-02 
 5.3244955632227797e-05  3.2834219002786802e+00  8.6684047278257750e-02 
 5.5236947624219787e-05  3.4013831428197783e+00  9.3162959436617787e-02 
 5.7228939616211777e-05  3.5188115601092749e+00  9.9863192377918047e-02 
 5.9220931608203767e-05  3.6356887570345475e+00  1.0678322704081743e-01 
 6.1212923600195763e-05  3.7519964248314119e+00  1.1392151086638198e-01 
 6.3204915592187760e-05  3.8677163439521864e+00  1.2127645803943345e-01 
 6.5196907584179757e-05  3.9828303869197739e+00  1.2884644973511106e-01 
 6.7188899576171754e-05  4.0973205211673234e+00  1.3662983437060805e-01 
 6.9180891568163750e-05  4.2111688118630237e+00  1.4462492786204326e-01 
 7.1172883560155747e-05  4.3243574247195928e+00  1.5283001388642770e-01 
